Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
All,3.09962e+03,2.03334e+01,8.99993e+01,4.00457e+01,3.09968e+03,3.94933e+01,2.99391e+01,1.99381e+01,1.12428e+01,1.12643e+01,3.54366e+00,6.32110e-02,2.82877e+00,8.31037e-04,4.57079e-02
All,3.22314e+03,2.08543e+01,9.00181e+01,4.49825e+01,3.22163e+03,4.38379e+01,3.22939e+01,2.07225e+01,1.72053e+01,1.12643e+01,5.15180e+00,-1.50929e+00,4.20370e+00,4.38773e-04,2.51962e-02
All,3.35774e+03,2.18467e+01,8.99863e+01,5.00245e+01,3.34859e+03,5.20323e+01,3.46023e+01,2.15391e+01,2.89827e+01,1.12643e+01,8.90067e+00,-9.14202e+00,4.44855e+00,9.13555e-02,5.02456e+00
All,3.48450e+03,2.20160e+01,9.00200e+01,5.50202e+01,3.48394e+03,6.60089e+01,3.69157e+01,2.24098e+01,4.63599e+01,1.12643e+01,1.47000e+01,-5.59284e-01,4.20565e+00,1.82185e-01,1.00202e+01
All,1.59805e+03,1.12338e+01,9.99566e+01,-2.00145e+01,1.59871e+03,3.94873e+01,1.53428e+01,1.02834e+01,3.00483e+01,1.12643e+01,1.37227e+01,6.56466e-01,1.45130e+00,1.82082e-01,1.00146e+01
All,1.78250e+03,1.12533e+01,9.99895e+01,-1.49669e+01,1.77938e+03,2.82844e+01,1.38817e+01,1.14455e+01,1.68204e+01,1.12643e+01,8.15457e+00,-3.11640e+00,1.87559e+00,9.03078e-02,4.96693e+00
All,1.94926e+03,1.20223e+01,1.00040e+02,-9.95067e+00,1.95233e+03,2.39759e+01,1.34543e+01,1.25580e+01,9.28150e+00,1.12643e+01,4.80561e+00,3.07278e+00,2.10905e+00,1.12091e-03,6.37231e-02
All,2.11399e+03,1.33635e+01,1.00023e+02,-4.99846e+00,2.11773e+03,2.48278e+01,1.54591e+01,1.36218e+01,7.22347e+00,1.12643e+01,3.58049e+00,3.73601e+00,1.34467e+00,3.86602e-04,2.31864e-02
All,2.28134e+03,1.45498e+01,1.00032e+02,-2.66535e-02,2.27887e+03,2.40438e+01,1.29252e+01,1.46583e+01,7.54089e+00,1.12643e+01,3.52547e+00,-2.47042e+00,1.08180e+00,9.04260e-02,4.97345e+00
All,2.43601e+03,1.45466e+01,9.99964e+01,4.96758e+00,2.43642e+03,2.50865e+01,1.36648e+01,1.56718e+01,7.58436e+00,1.12643e+01,3.54903e+00,4.04980e-01,1.10276e+00,5.92504e-04,3.26188e-02
All,2.58838e+03,1.64213e+01,1.00061e+02,1.00259e+01,2.59376e+03,2.62344e+01,1.48295e+01,1.66838e+01,7.19408e+00,1.12643e+01,3.36749e+00,5.38269e+00,1.13530e+00,9.04443e-02,4.97450e+00
All,2.74217e+03,1.71363e+01,9.99974e+01,1.49989e+01,2.74467e+03,2.76434e+01,1.62606e+01,1.76546e+01,7.15752e+00,1.12643e+01,3.15450e+00,2.49996e+00,1.10902e+00,4.82186e-05,2.85088e-03
All,2.89249e+03,1.94292e+01,9.99664e+01,1.99079e+01,2.89253e+03,2.94221e+01,1.79004e+01,1.86056e+01,7.89907e+00,1.12643e+01,3.12864e+00,3.57359e-02,1.56081e+00,8.92371e-02,4.90806e+00
All,3.04971e+03,1.98474e+01,9.99732e+01,2.49628e+01,3.04505e+03,3.15042e+01,1.97337e+01,1.95866e+01,9.03392e+00,1.12643e+01,3.31143e+00,-4.66240e+00,1.75224e+00,8.11243e-04,4.58881e-02
All,3.19433e+03,1.99922e+01,9.99830e+01,2.99807e+01,3.19710e+03,3.35612e+01,2.16436e+01,2.05647e+01,9.79387e+00,1.12643e+01,3.49264e+00,2.76750e+00,1.61325e+00,9.05581e-02,4.98070e+00
All,3.36477e+03,2.17882e+01,1.00074e+02,3.49957e+01,3.35306e+03,3.44895e+01,2.20579e+01,2.15679e+01,9.93414e+00,1.12643e+01,3.49676e+00,-1.17097e+01,1.42426e+00,1.22803e-03,7.36577e-02
All,3.51272e+03,2.24717e+01,1.00002e+02,3.99780e+01,3.50536e+03,3.76805e+01,2.56602e+01,2.25475e+01,1.06471e+01,1.12643e+01,3.56944e+00,-7.35929e+00,1.89716e+00,4.00152e-04,2.20177e-02
All,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66429e+03,4.15971e+01,2.82244e+01,2.35698e+01,1.51204e+01,1.12643e+01,4.75986e+00,-1.52792e+00,2.59636e+00,3.39515e-04,1.92965e-02
All,3.83037e+03,2.55072e+01,1.00017e+02,4.99680e+01,3.82640e+03,5.35359e+01,3.77988e+01,2.46125e+01,2.53171e+01,1.12643e+01,7.98284e+00,-3.96683e+00,2.75911e+00,9.03284e-02,4.96807e+00
All,4.00227e+03,2.55753e+01,9.99230e+01,5.50266e+01,3.99174e+03,6.10603e+01,3.19921e+01,2.56761e+01,4.16903e+01,1.12643e+01,1.34402e+01,-1.05329e+01,2.73811e+00,1.82307e-01,1.00269e+01
All,1.66064e+03,1.02044e+01,1.09997e+02,-1.49549e+01,1.66786e+03,3.28343e+01,2.06983e+01,1.07282e+01,1.82972e+01,1.12643e+01,8.53849e+00,7.21791e+00,2.60179e+00,9.00890e-02,4.95490e+00
All,1.88376e+03,1.18251e+01,1.09981e+02,-9.96864e+00,1.88174e+03,2.61435e+01,1.69366e+01,1.21039e+01,9.93596e+00,1.12643e+01,4.95199e+00,-2.02077e+00,2.93151e+00,6.52529e-04,3.66873e-02
All,2.08845e+03,1.36190e+01,1.10004e+02,-5.00669e+00,2.08757e+03,2.51642e+01,1.62150e+01,1.34279e+01,7.12792e+00,1.12643e+01,3.50863e+00,-8.77972e-01,1.93974e+00,1.40322e-04,7.89835e-03
All,2.28710e+03,1.45871e+01,1.10012e+02,2.57320e-02,2.29066e+03,2.72374e+01,1.82211e+01,1.47342e+01,7.36558e+00,1.12643e+01,3.41029e+00,3.56479e+00,1.54293e+00,5.10055e-04,2.84728e-02
All,2.48999e+03,1.58780e+01,1.09984e+02,4.95634e+00,2.48479e+03,2.65390e+01,1.58962e+01,1.59829e+01,7.56916e+00,1.12643e+01,3.46375e+00,-5.20127e+00,1.61152e+00,8.38143e-04,4.65473e-02
