Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness
All,2.08845e+03,1.36190e+01,1.10004e+02,-5.00669e+00,2.08614e+03,3.26834e+01,1.64554e+01,1.34485e+01,1.96822e+01,1.23372e+01,8.77310e+00,-2.30836e+00,2.15439e+00
All,2.28710e+03,1.45871e+01,1.10012e+02,2.57320e-02,2.29176e+03,2.89946e+01,1.83772e+01,1.47740e+01,1.03524e+01,1.23372e+01,5.03150e+00,4.66414e+00,2.30108e+00
All,2.48999e+03,1.58780e+01,1.09984e+02,4.95634e+00,2.48695e+03,2.72756e+01,1.59361e+01,1.60323e+01,8.09316e+00,1.23372e+01,3.90629e+00,-3.03754e+00,1.69163e+00
All,2.67905e+03,1.81566e+01,1.09992e+02,1.00187e+01,2.68218e+03,2.83318e+01,1.62537e+01,1.72909e+01,8.48915e+00,1.23372e+01,3.90624e+00,3.12779e+00,1.42947e+00
All,2.87208e+03,1.77622e+01,1.10040e+02,1.50455e+01,2.87255e+03,2.94412e+01,1.69795e+01,1.85181e+01,8.30304e+00,1.23372e+01,3.79653e+00,4.72457e-01,1.53998e+00
All,3.06423e+03,1.94811e+01,1.09950e+02,2.00191e+01,3.05691e+03,3.44751e+01,2.40114e+01,1.97066e+01,7.71267e+00,1.23372e+01,3.45554e+00,-7.32292e+00,1.29435e+00
All,3.24062e+03,2.16641e+01,1.09998e+02,2.49844e+01,3.24123e+03,3.21335e+01,1.93009e+01,2.08949e+01,7.80967e+00,1.23372e+01,3.20078e+00,6.11390e-01,9.20097e-01
All,3.43456e+03,2.11324e+01,1.09954e+02,2.99815e+01,3.42517e+03,3.26634e+01,1.83724e+01,2.20807e+01,8.87644e+00,1.23372e+01,3.28577e+00,-9.38756e+00,1.33321e+00
All,3.60999e+03,2.30194e+01,1.10022e+02,3.49715e+01,3.61221e+03,3.61421e+01,2.23335e+01,2.32864e+01,1.00202e+01,1.23372e+01,3.54955e+00,2.21812e+00,1.42780e+00
All,3.79346e+03,2.48112e+01,1.10028e+02,4.00246e+01,3.80288e+03,3.81995e+01,2.41176e+01,2.45156e+01,1.05269e+01,1.23372e+01,3.67506e+00,9.42922e+00,1.26553e+00
All,3.99044e+03,2.44363e+01,1.10022e+02,4.50022e+01,3.99405e+03,4.03718e+01,2.59422e+01,2.57480e+01,1.12978e+01,1.23372e+01,3.75230e+00,3.61882e+00,1.72361e+00
All,4.19344e+03,2.58597e+01,1.09979e+02,5.00185e+01,4.19044e+03,4.41621e+01,2.80034e+01,2.70141e+01,1.61122e+01,1.23372e+01,4.95311e+00,-2.99532e+00,2.40122e+00
All,4.39462e+03,2.70247e+01,1.09955e+02,5.49711e+01,4.39083e+03,5.19268e+01,2.99354e+01,2.83058e+01,2.78135e+01,1.23372e+01,8.55810e+00,-3.79024e+00,2.26749e+00
All,1.77607e+03,1.18629e+01,1.19897e+02,-1.00118e+01,1.77251e+03,4.88760e+01,2.03182e+01,1.14266e+01,3.80579e+01,1.23372e+01,1.56481e+01,-3.56373e+00,3.30214e+00
All,2.01563e+03,1.26683e+01,1.19977e+02,-5.01302e+00,2.01970e+03,3.50016e+01,1.94742e+01,1.30202e+01,2.10525e+01,1.23372e+01,8.99602e+00,4.06931e+00,3.70569e+00
All,2.26278e+03,1.47795e+01,1.20023e+02,-3.11693e-02,2.25835e+03,2.95912e+01,1.89157e+01,1.45586e+01,1.12895e+01,1.23372e+01,5.12077e+00,-4.42565e+00,3.30665e+00
All,2.48900e+03,1.56502e+01,1.19974e+02,4.99728e+00,2.49238e+03,2.91216e+01,1.86606e+01,1.60673e+01,8.62212e+00,1.23372e+01,3.89099e+00,3.37618e+00,1.65079e+00
All,2.71879e+03,1.83473e+01,1.20016e+02,1.00131e+01,2.71977e+03,3.01532e+01,1.87294e+01,1.75332e+01,9.12595e+00,1.23372e+01,3.93994e+00,9.79519e-01,1.51226e+00
All,2.93355e+03,1.89428e+01,1.19989e+02,1.50083e+01,2.94143e+03,3.12449e+01,1.90776e+01,1.89622e+01,9.23428e+00,1.23372e+01,3.90438e+00,7.87990e+00,1.50002e+00
All,3.15082e+03,2.01040e+01,1.19959e+02,2.00029e+01,3.15947e+03,3.23792e+01,1.97467e+01,2.03678e+01,8.85450e+00,1.23372e+01,3.60858e+00,8.65485e+00,1.48535e+00
All,3.37794e+03,2.11457e+01,1.20013e+02,2.50200e+01,3.37714e+03,3.38179e+01,2.06818e+01,2.17710e+01,8.86285e+00,1.23372e+01,3.34318e+00,-8.05988e-01,1.33844e+00
All,3.58764e+03,2.32055e+01,1.19994e+02,3.00028e+01,3.59166e+03,3.55511e+01,2.17554e+01,2.31540e+01,9.54094e+00,1.23372e+01,3.35275e+00,4.02066e+00,1.38476e+00
All,3.80484e+03,2.50110e+01,1.19997e+02,3.50043e+01,3.80763e+03,3.74780e+01,2.30538e+01,2.45462e+01,1.02919e+01,1.23372e+01,3.53151e+00,2.79482e+00,1.41921e+00
All,4.02915e+03,2.40884e+01,1.19934e+02,4.00323e+01,4.02505e+03,3.93794e+01,2.45250e+01,2.59478e+01,1.05279e+01,1.23372e+01,3.59610e+00,-4.09938e+00,1.26647e+00
All,4.23291e+03,2.60298e+01,1.19910e+02,4.49975e+01,4.24311e+03,4.15097e+01,2.61260e+01,2.73536e+01,1.12525e+01,1.23372e+01,3.66643e+00,1.02078e+01,1.63379e+00
All,4.45708e+03,2.94108e+01,1.20042e+02,4.99645e+01,4.46915e+03,4.52077e+01,2.78631e+01,2.88107e+01,1.61589e+01,1.23372e+01,4.89988e+00,1.20716e+01,2.31271e+00
All,4.70233e+03,3.21191e+01,1.20020e+02,5.50232e+01,4.70110e+03,5.31697e+01,2.97187e+01,3.03060e+01,2.82618e+01,1.23372e+01,8.62729e+00,-1.23520e+00,2.24126e+00
All,1.96176e+03,1.21370e+01,1.30031e+02,-4.98415e+00,1.95444e+03,3.86218e+01,2.17568e+01,1.25995e+01,2.46519e+01,1.23372e+01,9.98068e+00,-7.32322e+00,5.21161e+00
All,2.23138e+03,1.41300e+01,1.30020e+02,2.79703e-02,2.22648e+03,3.20596e+01,2.12341e+01,1.43532e+01,1.36645e+01,1.23372e+01,5.65578e+00,-4.90021e+00,5.00363e+00
All,2.48438e+03,1.69785e+01,1.30025e+02,5.00765e+00,2.48878e+03,3.10287e+01,2.10820e+01,1.60441e+01,9.63659e+00,1.23372e+01,3.98049e+00,4.39325e+00,2.46774e+00
All,2.75020e+03,1.76923e+01,1.30011e+02,9.97645e+00,2.74382e+03,3.20040e+01,2.12080e+01,1.76882e+01,9.70356e+00,1.23372e+01,3.90378e+00,-6.38400e+00,1.38244e+00
All,2.99629e+03,1.90051e+01,1.29915e+02,1.50184e+01,2.99652e+03,3.33298e+01,2.15844e+01,1.93173e+01,1.01795e+01,1.23372e+01,4.00003e+00,2.33248e-01,1.59212e+00
All,3.25715e+03,2.27961e+01,1.29945e+02,2.00445e+01,3.24474e+03,3.46695e+01,2.21692e+01,2.09175e+01,1.02758e+01,1.23372e+01,3.89329e+00,-1.24030e+01,1.57414e+00
